date,balance
2025-12-01,45674.44
2025-12-02,45384.75
2025-12-03,44975.0
2025-12-04,44964.26
2025-12-05,44922.93
2025-12-06,44865.64
2025-12-07,45386.67
2025-12-08,45159.07
2025-12-09,44783.0
2025-12-10,44513.77
2025-12-11,44631.66
2025-12-12,44734.69
2025-12-13,44908.22
2025-12-14,45873.08
2025-12-15,45796.41
2025-12-16,45538.59
2025-12-17,45620.83
2025-12-18,45855.91
2025-12-19,46372.67
2025-12-20,47349.22
2025-12-21,48838.27
2025-12-22,48235.71
2025-12-23,48532.71
2025-12-24,48901.03
2025-12-25,48558.06
2025-12-26,48677.73
2025-12-27,48413.46
2025-12-28,49661.09
2025-12-29,49582.71
2025-12-30,49965.04
2025-12-31,49942.98
2026-01-01,49761.75
2026-01-02,49753.72
2026-01-03,50341.18
2026-01-04,50674.11
2026-01-05,50376.24
2026-01-06,50867.45
2026-01-07,51133.13
2026-01-08,51185.14
2026-01-09,51566.07
2026-01-10,51646.41
2026-01-11,52451.13
2026-01-12,52480.97
2026-01-13,52924.3
2026-01-14,53247.71
2026-01-15,53000.87
2026-01-16,53205.78
2026-01-17,54319.59
2026-01-18,54961.34
2026-01-19,54667.48
2026-01-20,54568.81
2026-01-21,55019.32
2026-01-22,55468.35
2026-01-23,55401.14
2026-01-24,55780.62
2026-01-25,56461.3
2026-01-26,56102.27
2026-01-27,55772.88
2026-01-28,56103.82
2026-01-29,56615.52
2026-01-30,56949.57
2026-01-31,57221.39
2026-02-01,57541.65
2026-02-02,56969.11
2026-02-03,57147.24
2026-02-04,56911.46
2026-02-05,56471.98
2026-02-06,56783.74
2026-02-07,56881.94
2026-02-08,57103.29
2026-02-09,57090.41
2026-02-10,56698.29
2026-02-11,56252.94
2026-02-12,56052.2
2026-02-13,56220.87
2026-02-14,57225.21
2026-02-15,58210.73
2026-02-16,58562.91
2026-02-17,58250.93
2026-02-18,57538.56
2026-02-19,56927.53
2026-02-20,56364.69
2026-02-21,57048.65
2026-02-22,57818.41
2026-02-23,58276.12
2026-02-24,57618.18
2026-02-25,56797.17
2026-02-26,56764.0
2026-02-27,57592.14
2026-02-28,57387.88
2026-03-01,58145.94
2026-03-02,58792.44
2026-03-03,59964.48
2026-03-04,58916.29
2026-03-05,58404.74
2026-03-06,58008.73
2026-03-07,57434.08
2026-03-08,57225.18
2026-03-09,56570.33
2026-03-10,55723.58
2026-03-11,55127.13
2026-03-12,53979.42
2026-03-13,53009.26
2026-03-14,52419.52
2026-03-15,52429.17
2026-03-16,51270.79
2026-03-17,50570.73
2026-03-18,49102.2
2026-03-19,48439.32
2026-03-20,47141.21
2026-03-21,47091.04
2026-03-22,46664.44
2026-03-23,45683.1
2026-03-24,45290.22
2026-03-25,44236.87
