date,order_id,product,channel,amount,is_repeat
2025-12-01,ord_1000,Espresso Cup Pair,referral,38.35,0
2025-12-01,ord_1001,Ridge Vase,direct,68.55,0
2025-12-01,ord_1002,Dinner Plate Set,referral,145.95,0
2025-12-01,ord_1003,Ridge Vase,unknown,71.12,0
2025-12-01,ord_1004,Sunset Mug,instagram,46.84,1
2025-12-01,ord_1005,Butter Dish,instagram,42.15,0
2025-12-01,ord_1006,Ridge Vase,unknown,78.66,1
2025-12-01,ord_1007,Sunset Mug,instagram,48.99,0
2025-12-01,ord_1008,Serving Platter,direct,78.39,0
2025-12-01,ord_1009,Dinner Plate Set,instagram,154.79,0
2025-12-01,ord_1010,Speckled Bowl,referral,56.12,0
2025-12-01,ord_1011,Butter Dish,instagram,44.0,0
2025-12-01,ord_1012,Ridge Vase,referral,65.54,0
2025-12-01,ord_1013,Sunset Mug,unknown,37.1,1
2025-12-01,ord_1014,Espresso Cup Pair,instagram,41.79,0
2025-12-01,ord_1015,Espresso Cup Pair,unknown,36.66,1
2025-12-01,ord_1016,Dinner Plate Set,instagram,135.09,0
2025-12-01,ord_1017,Dinner Plate Set,direct,159.14,0
2025-12-01,ord_1018,Sunset Mug,direct,39.98,1
2025-12-01,ord_1019,Sunset Mug,direct,44.71,0
2025-12-01,ord_1020,Planter,referral,53.15,1
2025-12-01,ord_1021,Espresso Cup Pair,direct,55.99,0
2025-12-01,ord_1022,Espresso Cup Pair,referral,37.14,0
2025-12-01,ord_1023,Ridge Vase,instagram,68.74,1
2025-12-01,ord_1024,Espresso Cup Pair,referral,44.56,0
2025-12-01,ord_1025,Espresso Cup Pair,referral,39.62,0
2025-12-01,ord_1026,Espresso Cup Pair,instagram,38.61,0
2025-12-01,ord_1027,Dinner Plate Set,referral,107.47,0
2025-12-01,ord_1028,Ridge Vase,direct,66.86,1
2025-12-01,ord_1029,Ridge Vase,instagram,75.71,0
2025-12-01,ord_1030,Serving Platter,instagram,118.14,0
2025-12-01,ord_1031,Sunset Mug,instagram,40.97,1
2025-12-01,ord_1032,Butter Dish,direct,33.89,1
2025-12-01,ord_1033,Espresso Cup Pair,direct,53.8,0
2025-12-01,ord_1034,Espresso Cup Pair,instagram,52.96,0
2025-12-01,ord_1035,Ridge Vase,referral,70.99,0
2025-12-01,ord_1036,Speckled Bowl,instagram,44.71,1
2025-12-01,ord_1037,Planter,direct,59.86,0
2025-12-01,ord_1038,Planter,instagram,47.87,0
2025-12-01,ord_1039,Sunset Mug,instagram,38.2,1
2025-12-01,ord_1040,Speckled Bowl,direct,55.07,0
2025-12-01,ord_1041,Ridge Vase,instagram,71.26,0
2025-12-01,ord_1042,Espresso Cup Pair,instagram,48.71,0
2025-12-01,ord_1043,Planter,unknown,52.53,0
2025-12-01,ord_1044,Speckled Bowl,direct,54.0,0
2025-12-01,ord_1045,Speckled Bowl,instagram,39.29,0
2025-12-01,ord_1046,Butter Dish,unknown,38.39,0
2025-12-01,ord_1047,Dinner Plate Set,instagram,115.88,0
2025-12-01,ord_1048,Ridge Vase,instagram,61.26,1
2025-12-01,ord_1049,Speckled Bowl,referral,47.0,1
2025-12-01,ord_1050,Dinner Plate Set,direct,117.38,0
2025-12-01,ord_1051,Sunset Mug,direct,36.81,0
2025-12-01,ord_1052,Ridge Vase,direct,69.79,0
2025-12-01,ord_1053,Ridge Vase,referral,72.07,1
2025-12-01,ord_1054,Espresso Cup Pair,referral,46.49,0
2025-12-01,ord_1055,Speckled Bowl,instagram,48.85,1
2025-12-01,ord_1056,Espresso Cup Pair,direct,53.93,0
2025-12-01,ord_1057,Espresso Cup Pair,direct,45.9,0
2025-12-01,ord_1058,Speckled Bowl,instagram,47.09,0
2025-12-01,ord_1059,Serving Platter,instagram,101.7,1
2025-12-02,ord_1060,Dinner Plate Set,instagram,132.63,1
2025-12-02,ord_1061,Butter Dish,instagram,44.4,0
2025-12-02,ord_1062,Ridge Vase,direct,62.83,0
2025-12-02,ord_1063,Speckled Bowl,direct,49.64,0
2025-12-02,ord_1064,Speckled Bowl,instagram,51.62,0
2025-12-02,ord_1065,Speckled Bowl,direct,47.27,0
2025-12-02,ord_1066,Butter Dish,instagram,40.37,1
2025-12-02,ord_1067,Sunset Mug,direct,48.13,0
2025-12-02,ord_1068,Speckled Bowl,instagram,54.58,0
2025-12-02,ord_1069,Sunset Mug,referral,49.8,0
2025-12-02,ord_1070,Ridge Vase,referral,71.25,1
2025-12-02,ord_1071,Sunset Mug,instagram,40.37,0
2025-12-02,ord_1072,Dinner Plate Set,unknown,158.68,1
2025-12-02,ord_1073,Dinner Plate Set,unknown,158.02,1
2025-12-02,ord_1074,Butter Dish,instagram,29.38,0
2025-12-02,ord_1075,Speckled Bowl,direct,52.28,0
2025-12-02,ord_1076,Speckled Bowl,referral,43.01,0
2025-12-02,ord_1077,Butter Dish,referral,30.37,0
2025-12-02,ord_1078,Speckled Bowl,instagram,51.76,1
2025-12-02,ord_1079,Dinner Plate Set,referral,103.83,0
2025-12-02,ord_1080,Ridge Vase,direct,57.54,0
2025-12-02,ord_1081,Espresso Cup Pair,instagram,52.97,0
2025-12-02,ord_1082,Serving Platter,instagram,115.99,0
2025-12-02,ord_1083,Butter Dish,direct,31.6,1
2025-12-02,ord_1084,Speckled Bowl,direct,42.95,0
2025-12-02,ord_1085,Planter,unknown,42.09,0
2025-12-02,ord_1086,Ridge Vase,instagram,56.82,1
2025-12-02,ord_1087,Butter Dish,direct,39.2,1
2025-12-02,ord_1088,Dinner Plate Set,unknown,127.12,0
2025-12-02,ord_1089,Planter,instagram,60.21,0
2025-12-02,ord_1090,Sunset Mug,unknown,39.91,1
2025-12-02,ord_1091,Butter Dish,unknown,44.02,0
2025-12-02,ord_1092,Ridge Vase,instagram,77.42,1
2025-12-02,ord_1093,Planter,instagram,59.54,0
2025-12-02,ord_1094,Serving Platter,unknown,102.63,0
2025-12-02,ord_1095,Speckled Bowl,instagram,55.17,0
2025-12-02,ord_1096,Butter Dish,direct,40.57,0
2025-12-02,ord_1097,Dinner Plate Set,referral,113.8,1
2025-12-02,ord_1098,Speckled Bowl,unknown,50.22,0
2025-12-02,ord_1099,Dinner Plate Set,instagram,153.42,0
2025-12-02,ord_1100,Serving Platter,instagram,91.0,0
2025-12-02,ord_1101,Serving Platter,direct,115.91,0
2025-12-02,ord_1102,Planter,direct,44.64,0
2025-12-02,ord_1103,Ridge Vase,referral,59.43,1
2025-12-02,ord_1104,Speckled Bowl,direct,46.29,1
2025-12-02,ord_1105,Speckled Bowl,direct,38.34,0
2025-12-02,ord_1106,Espresso Cup Pair,instagram,41.28,0
